Topic,Variable,Census,Formula
Age Group and Gender,Median age,Decennial,DP1_0073C
Age Group and Gender,Percent male,Decennial,DP1_0025C/(DP1_0025C+DP1_0049C)
Age Group and Gender,Percent female,Decennial,DP1_0049C/(DP1_0025C+DP1_0049C)
Age Group and Gender,Percent under 18,Decennial,1 - ((DP1_0045C + DP1_0069C)/(DP1_0025C+DP1_0049C))
Age Group and Gender,Percent 65 and over,Decennial,(DP1_0048C + DP1_0072C)/(DP1_0025C+DP1_0049C)
Age Group and Gender,value_Male population Under 5 years,Decennial,DP1_0026C
Age Group and Gender,value_Male population 5 to 9 years,Decennial,DP1_0027C
Age Group and Gender,value_Male population 10 to 14 years,Decennial,DP1_0028C
Age Group and Gender,value_Male population 15 to 19 years,Decennial,DP1_0029C
Age Group and Gender,value_Male population 20 to 24 years,Decennial,DP1_0030C
Age Group and Gender,value_Male population 25 to 29 years,Decennial,DP1_0031C
Age Group and Gender,value_Male population 30 to 34 years,Decennial,DP1_0032C
Age Group and Gender,value_Male population 35 to 39 years,Decennial,DP1_0033C
Age Group and Gender,value_Male population 40 to 44 years,Decennial,DP1_0034C
Age Group and Gender,value_Male population 45 to 49 years,Decennial,DP1_0035C
Age Group and Gender,value_Male population 50 to 54 years,Decennial,DP1_0036C
Age Group and Gender,value_Male population 55 to 59 years,Decennial,DP1_0037C
Age Group and Gender,value_Male population 60 to 64 years,Decennial,DP1_0038C
Age Group and Gender,value_Male population 65 to 69 years,Decennial,DP1_0039C
Age Group and Gender,value_Male population 70 to 74 years,Decennial,DP1_0040C
Age Group and Gender,value_Male population 75 to 79 years,Decennial,DP1_0041C
Age Group and Gender,value_Male population 80 to 84 years,Decennial,DP1_0042C
Age Group and Gender,value_Male population 85 years and over,Decennial,DP1_0043C
Age Group and Gender,value_Female population Under 5 years,Decennial,DP1_0050C
Age Group and Gender,value_Female population 5 to 9 years,Decennial,DP1_0051C
Age Group and Gender,value_Female population 10 to 14 years,Decennial,DP1_0052C
Age Group and Gender,value_Female population 15 to 19 years,Decennial,DP1_0053C
Age Group and Gender,value_Female population 20 to 24 years,Decennial,DP1_0054C
Age Group and Gender,value_Female population 25 to 29 years,Decennial,DP1_0055C
Age Group and Gender,value_Female population 30 to 34 years,Decennial,DP1_0056C
Age Group and Gender,value_Female population 35 to 39 years,Decennial,DP1_0057C
Age Group and Gender,value_Female population 40 to 44 years,Decennial,DP1_0058C
Age Group and Gender,value_Female population 45 to 49 years,Decennial,DP1_0059C
Age Group and Gender,value_Female population 50 to 54 years,Decennial,DP1_0060C
Age Group and Gender,value_Female population 55 to 59 years,Decennial,DP1_0061C
Age Group and Gender,value_Female population 60 to 64 years,Decennial,DP1_0062C
Age Group and Gender,value_Female population 65 to 69 years,Decennial,DP1_0063C
Age Group and Gender,value_Female population 70 to 74 years,Decennial,DP1_0064C
Age Group and Gender,value_Female population 75 to 79 years,Decennial,DP1_0065C
Age Group and Gender,value_Female population 80 to 84 years,Decennial,DP1_0066C
Age Group and Gender,value_Female population 85 years and over,Decennial,DP1_0067C
Age Group and Gender,percent_Male population Under 5 years,Decennial,DP1_0026C/DP1_0001C
Age Group and Gender,percent_Male population 5 to 9 years,Decennial,DP1_0027C/DP1_0001C
Age Group and Gender,percent_Male population 10 to 14 years,Decennial,DP1_0028C/DP1_0001C
Age Group and Gender,percent_Male population 15 to 19 years,Decennial,DP1_0029C/DP1_0001C
Age Group and Gender,percent_Male population 20 to 24 years,Decennial,DP1_0030C/DP1_0001C
Age Group and Gender,percent_Male population 25 to 29 years,Decennial,DP1_0031C/DP1_0001C
Age Group and Gender,percent_Male population 30 to 34 years,Decennial,DP1_0032C/DP1_0001C
Age Group and Gender,percent_Male population 35 to 39 years,Decennial,DP1_0033C/DP1_0001C
Age Group and Gender,percent_Male population 40 to 44 years,Decennial,DP1_0034C/DP1_0001C
Age Group and Gender,percent_Male population 45 to 49 years,Decennial,DP1_0035C/DP1_0001C
Age Group and Gender,percent_Male population 50 to 54 years,Decennial,DP1_0036C/DP1_0001C
Age Group and Gender,percent_Male population 55 to 59 years,Decennial,DP1_0037C/DP1_0001C
Age Group and Gender,percent_Male population 60 to 64 years,Decennial,DP1_0038C/DP1_0001C
Age Group and Gender,percent_Male population 65 to 69 years,Decennial,DP1_0039C/DP1_0001C
Age Group and Gender,percent_Male population 70 to 74 years,Decennial,DP1_0040C/DP1_0001C
Age Group and Gender,percent_Male population 75 to 79 years,Decennial,DP1_0041C/DP1_0001C
Age Group and Gender,percent_Male population 80 to 84 years,Decennial,DP1_0042C/DP1_0001C
Age Group and Gender,percent_Male population 85 years and over,Decennial,DP1_0043C/DP1_0001C
Age Group and Gender,percent_Female population Under 5 years,Decennial,DP1_0050C/DP1_0001C
Age Group and Gender,percent_Female population 5 to 9 years,Decennial,DP1_0051C/DP1_0001C
Age Group and Gender,percent_Female population 10 to 14 years,Decennial,DP1_0052C/DP1_0001C
Age Group and Gender,percent_Female population 15 to 19 years,Decennial,DP1_0053C/DP1_0001C
Age Group and Gender,percent_Female population 20 to 24 years,Decennial,DP1_0054C/DP1_0001C
Age Group and Gender,percent_Female population 25 to 29 years,Decennial,DP1_0055C/DP1_0001C
Age Group and Gender,percent_Female population 30 to 34 years,Decennial,DP1_0056C/DP1_0001C
Age Group and Gender,percent_Female population 35 to 39 years,Decennial,DP1_0057C/DP1_0001C
Age Group and Gender,percent_Female population 40 to 44 years,Decennial,DP1_0058C/DP1_0001C
Age Group and Gender,percent_Female population 45 to 49 years,Decennial,DP1_0059C/DP1_0001C
Age Group and Gender,percent_Female population 50 to 54 years,Decennial,DP1_0060C/DP1_0001C
Age Group and Gender,percent_Female population 55 to 59 years,Decennial,DP1_0061C/DP1_0001C
Age Group and Gender,percent_Female population 60 to 64 years,Decennial,DP1_0062C/DP1_0001C
Age Group and Gender,percent_Female population 65 to 69 years,Decennial,DP1_0063C/DP1_0001C
Age Group and Gender,percent_Female population 70 to 74 years,Decennial,DP1_0064C/DP1_0001C
Age Group and Gender,percent_Female population 75 to 79 years,Decennial,DP1_0065C/DP1_0001C
Age Group and Gender,percent_Female population 80 to 84 years,Decennial,DP1_0066C/DP1_0001C
Age Group and Gender,percent_Female population 85 years and over,Decennial,DP1_0067C/DP1_0001C
Race and Ethnicity,nh_White alone,Decennial,P2_005N/P1_001N
Race and Ethnicity,nh_Black or African American alone,Decennial,P2_006N/P1_001N
Race and Ethnicity,nh_American Indian and Alaska Native alone,Decennial,P2_007N/P1_001N
Race and Ethnicity,nh_Asian alone,Decennial,P2_008N/P1_001N
Race and Ethnicity,nh_Native Hawaiian and other Pacific Islander alone,Decennial,P2_009N/P1_001N
Race and Ethnicity,nh_Some other race alone,Decennial,P2_010N/P1_001N
Race and Ethnicity,nh_Two or more races,Decennial,P2_011N/P1_001N
Race and Ethnicity,Hispanic or Latino (any race),Decennial,P2_002N/P1_001N
Race and Ethnicity,White alone,Decennial,P1_003N/P1_001N
Race and Ethnicity,Black or African American alone,Decennial,P1_004N/P1_001N
Race and Ethnicity,American Indian and Alaska Native alone,Decennial,P1_005N/P1_001N
Race and Ethnicity,Asian alone,Decennial,P1_006N/P1_001N
Race and Ethnicity,Native Hawaiian and other Pacific Islander alone,Decennial,P1_007N/P1_001N
Race and Ethnicity,Some other race alone,Decennial,P1_008N/P1_001N
Race and Ethnicity,Two or more races,Decennial,P1_009N/P1_001N
