GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,CTY_SUB,CTY_SUBA,DZ2001
"G0100010005","1980","Alabama","01","Autauga","001",,"Autaugaville division","005",3163
"G0100010010","1980","Alabama","01","Autauga","001",,"Billingsley division","010",2172
"G0100010015","1980","Alabama","01","Autauga","001",,"Marbury division","015",2835
"G0100010020","1980","Alabama","01","Autauga","001",,"Prattville division","020",24089
"G0100030005","1980","Alabama","01","Baldwin","003",,"Bay Minette division","005",17040
"G0100030010","1980","Alabama","01","Baldwin","003",,"Daphne division","010",13563
"G0100030015","1980","Alabama","01","Baldwin","003",,"Elberta division","015",4230
"G0100030020","1980","Alabama","01","Baldwin","003",,"Fairhope division","020",13782
"G0100030025","1980","Alabama","01","Baldwin","003",,"Foley division","025",14017
"G0100030035","1980","Alabama","01","Baldwin","003",,"Robertsdale division","035",9993
"G0100030040","1980","Alabama","01","Baldwin","003",,"Stockton division","040",3704
"G0100030045","1980","Alabama","01","Baldwin","003",,"Summerdale division","045",2111
"G0100050005","1980","Alabama","01","Barbour","005",,"Bakerhill division","005",2189
"G0100050010","1980","Alabama","01","Barbour","005",,"Clayton division","010",3144
"G0100050015","1980","Alabama","01","Barbour","005",,"Clio division","015",3105
"G0100050020","1980","Alabama","01","Barbour","005",,"Eufaula division","020",13766
"G0100050025","1980","Alabama","01","Barbour","005",,"Louisville division","025",2552
"G0100070008","1980","Alabama","01","Bibb","007",,"Centreville-Brent division","008",9602
"G0100070015","1980","Alabama","01","Bibb","007",,"Piper-Coleanor division","015",879
"G0100070020","1980","Alabama","01","Bibb","007",,"West Blocton division","020",5242
"G0100090005","1980","Alabama","01","Blount","009",,"Blountsville division","005",5212
"G0100090010","1980","Alabama","01","Blount","009",,"Brooksville division","010",3549
"G0100090015","1980","Alabama","01","Blount","009",,"Clarence division","015",3928
"G0100090020","1980","Alabama","01","Blount","009",,"Cleveland division","020",2361
"G0100090025","1980","Alabama","01","Blount","009",,"Hayden division","025",5812
"G0100090030","1980","Alabama","01","Blount","009",,"Locust Fork division","030",5035
"G0100090035","1980","Alabama","01","Blount","009",,"Oneonta division","035",10562
"G0100110005","1980","Alabama","01","Bullock","011",,"Fitzpatrick division","005",1069
"G0100110010","1980","Alabama","01","Bullock","011",,"Inverness division","010",2251
"G0100110015","1980","Alabama","01","Bullock","011",,"Midway division","015",1290
"G0100110020","1980","Alabama","01","Bullock","011",,"Union Springs division","020",5986
"G0100130005","1980","Alabama","01","Butler","013",,"Chapman division","005",1913
"G0100130010","1980","Alabama","01","Butler","013",,"Forest Home division","010",1786
"G0100130015","1980","Alabama","01","Butler","013",,"Georgiana-McKenzie division","015",5161
"G0100130020","1980","Alabama","01","Butler","013",,"Greenville division","020",12820
"G0100150005","1980","Alabama","01","Calhoun","015",,"Anniston division","005",80440
"G0100150010","1980","Alabama","01","Calhoun","015",,"Choccolocco division","010",3753
"G0100150015","1980","Alabama","01","Calhoun","015",,"Jacksonville division","015",14487
"G0100150020","1980","Alabama","01","Calhoun","015",,"Ohatchee division","020",2857
"G0100150030","1980","Alabama","01","Calhoun","015",,"Piedmont division","030",8089
"G0100150040","1980","Alabama","01","Calhoun","015",,"Websters Chapel-Alexandria Valley division","040",7310
"G0100170005","1980","Alabama","01","Chambers","017",,"Five Points division","005",2464
"G0100170010","1980","Alabama","01","Chambers","017",,"Lafayette division","010",6618
"G0100170015","1980","Alabama","01","Chambers","017",,"Lanett division","015",12203
"G0100170020","1980","Alabama","01","Chambers","017",,"Langdale division","020",15358
"G0100170025","1980","Alabama","01","Chambers","017",,"Milltown division","025",1254
"G0100170030","1980","Alabama","01","Chambers","017",,"Waverly division","030",1294
"G0100190005","1980","Alabama","01","Cherokee","019",,"Cedar Bluff-Gaylesville division","005",4988
"G0100190010","1980","Alabama","01","Cherokee","019",,"Centre division","010",6659
"G0100190015","1980","Alabama","01","Cherokee","019",,"Leesburg division","015",3413
"G0100190020","1980","Alabama","01","Cherokee","019",,"Mud Creek division","020",3700
"G0100210005","1980","Alabama","01","Chilton","021",,"Clanton division","005",11702
"G0100210010","1980","Alabama","01","Chilton","021",,"Isabella-Pletcher division","010",2163
"G0100210015","1980","Alabama","01","Chilton","021",,"Jemison division","015",8643
"G0100210020","1980","Alabama","01","Chilton","021",,"Maplesville division","020",2892
"G0100210025","1980","Alabama","01","Chilton","021",,"Mineral Springs division","025",1852
"G0100210030","1980","Alabama","01","Chilton","021",,"Verbena division","030",3360
"G0100230005","1980","Alabama","01","Choctaw","023",,"Butler division","005",5217
"G0100230010","1980","Alabama","01","Choctaw","023",,"Gilbertown-Toxey division","010",4289
